Data Date,Patent Intensity
08-Feb,0.00146262
08-Mar,0.00146262
08-Apr,0.00146262
08-May,0.001247392
08-Jun,0.001247392
08-Jul,0.001247392
08-Aug,0.001832279
08-Sep,0.001832279
08-Oct,0.001832279
08-Nov,0.002434309
08-Dec,0.002434309
09-Jan,0.002434309
09-Feb,0.003082411
09-Mar,0.003082411
09-Apr,0.003082411
09-May,0.002265254
09-Jun,0.002265254
09-Jul,0.002265254
09-Aug,0.001732832
09-Sep,0.001732832
09-Oct,0.001732832
09-Nov,0.001513227
09-Dec,0.001513227
10-Jan,0.001513227
10-Feb,0.00263374
10-Mar,0.00263374
10-Apr,0.00263374
10-May,0.002450296
10-Jun,0.002450296
10-Jul,0.002450296
10-Aug,0.002166164
10-Sep,0.002166164
10-Oct,0.002166164
10-Nov,0.001895055
10-Dec,0.001895055
11-Jan,0.001895055
11-Feb,0.002097712
11-Mar,0.002097712
11-Apr,0.002097712
11-May,0.002172698
11-Jun,0.002172698
11-Jul,0.002172698
11-Aug,0.001907708
11-Sep,0.001907708
11-Oct,0.001907708
11-Nov,0.001790507
11-Dec,0.001790507
12-Jan,0.001790507
12-Feb,0.002030082
12-Mar,0.002030082
12-Apr,0.002030082
12-May,0.002079058
12-Jun,0.002079058
12-Jul,0.002079058
12-Aug,0.001816295
12-Sep,0.001816295
12-Oct,0.001816295
12-Nov,0.002277385
12-Dec,0.002277385
13-Jan,0.002277385
13-Feb,0.004284595
13-Mar,0.004284595
13-Apr,0.004284595
13-May,0.004949691
13-Jun,0.004949691
13-Jul,0.004949691
13-Aug,0.004159088
13-Sep,0.004159088
13-Oct,0.004159088
13-Nov,0.003561152
13-Dec,0.003561152
14-Jan,0.003561152
14-Feb,0.004386714
14-Mar,0.004386714
14-Apr,0.004386714
14-May,0.003645519
14-Jun,0.003645519
14-Jul,0.003645519
14-Aug,0.003433073
14-Sep,0.003433073
14-Oct,0.003433073
14-Nov,0.003154932
14-Dec,0.003154932
15-Jan,0.003154932
15-Feb,0.002743374
15-Mar,0.002743374
15-Apr,0.002743374
15-May,0.002748743
15-Jun,0.002748743
15-Jul,0.002748743
15-Aug,0.003196625
15-Sep,0.003196625
15-Oct,0.003196625
15-Nov,0.003370386
15-Dec,0.003370386
16-Jan,0.003370386
16-Feb,0.00354047
16-Mar,0.00354047
16-Apr,0.00354047
16-May,0.004100184
16-Jun,0.004100184
16-Jul,0.004100184
16-Aug,0.003504331
16-Sep,0.003504331
16-Oct,0.003504331
16-Nov,0.003473072
16-Dec,0.003473072
17-Jan,0.003473072
17-Feb,0.001055
17-Mar,0.001055
17-Apr,0.001055
17-May,0.001059698
17-Jun,0.001059698
17-Jul,0.001059698
17-Aug,0.000998671
17-Sep,0.000998671
17-Oct,0.000998671
17-Nov,0.000917476
17-Dec,0.000917476
18-Jan,0.000917476
